Base Currency,Quote Currency,Exchange Rate
GBP,JOD,0.9227
GBP,JPY,197.6386
GBP,KES,167.461
GBP,KGS,110.5313
GBP,KHR,5292.2
GBP,KID,1.9631
GBP,KMF,586.7498
GBP,KRW,1792.5323
GBP,KWD,0.3977
GBP,KYD,1.0845
GBP,KZT,636.2386
GBP,LAK,28392.7041
GBP,LBP,116470.6369
GBP,LKR,381.0985
GBP,LRD,248.5693
GBP,LSL,22.6644
GBP,LYD,6.2308
GBP,MAD,12.7492
GBP,MDL,23.1648
GBP,MGA,5992.6
GBP,MKD,73.1535
GBP,MMK,3716.3671
GBP,MNT,4475.5508
GBP,MOP,10.4115
GBP,MRU,51.7355
GBP,MUR,59.6188
GBP,MVR,20.0231
GBP,MWK,2260.0767
GBP,MXN,26.2224
GBP,MYR,5.6517
GBP,MZN,82.93
GBP,NAD,22.6644
GBP,NGN,2128.4485
GBP,NIO,47.7158
GBP,NOK,14.2693
GBP,NPR,174.9031
GBP,NZD,2.1688
GBP,OMR,0.5004
GBP,PAB,1.3013
GBP,PEN,4.9054
GBP,PGK,5.1457
GBP,PHP,75.974
GBP,PKR,361.488
GBP,PLN,5.1946
GBP,PYG,10203.5864
GBP,QAR,4.7369
GBP,RON,5.9296
GBP,RSD,139.4923
GBP,RUB,127.1419
GBP,RWF,1806.5546
GBP,SAR,4.8801
GBP,SBD,10.9603
GBP,SCR,18.149
GBP,SDG,579.438
GBP,SEK,13.9366
GBP,SGD,1.7121
GBP,SHP,1.0
GBP,SLE,29.6058
GBP,SLL,29606.065
GBP,SOS,740.5131
GBP,SRD,45.0579
GBP,SSP,4482.0609
GBP,STN,29.2201
GBP,SYP,16723.5776
GBP,SZL,22.6644
GBP,THB,43.6899
GBP,TJS,13.8428
GBP,TMT,4.5436
GBP,TND,4.0215
GBP,TOP,3.0456
GBP,TRY,44.684
GBP,TTD,9.1764
GBP,TVD,1.9631
GBP,TWD,41.4887
GBP,TZS,3478.6628
GBP,UAH,53.8101
GBP,UGX,4737.7187
GBP,USD,1.3015
GBP,UYU,53.9656
GBP,UZS,16637.3337
GBP,VES,56.5516
GBP,VND,33001.9943
GBP,VUV,155.9189
GBP,WST,3.5459
GBP,XAF,782.3331
GBP,XCD,3.5136
GBP,XDR,0.9733
GBP,XOF,782.3331
GBP,XPF,142.3224
GBP,YER,324.3428
GBP,ZAR,22.669
GBP,ZMW,34.9867
GBP,ZWL,4.8722
JPY,JPY,1.0
JPY,AED,0.02418
JPY,AFN,0.445
JPY,ALL,0.5921
JPY,AMD,2.5418
JPY,ANG,0.01179
JPY,AOA,6.1451
JPY,ARS,6.5506
JPY,AUD,0.009931
JPY,AWG,0.01179
JPY,AZN,0.01116
JPY,BAM,0.0118
JPY,BBD,0.01317
JPY,BDT,0.7864
JPY,BGN,0.0118
JPY,BHD,0.002476
JPY,BIF,19.1286
JPY,BMD,0.006585
JPY,BND,0.008663
JPY,BOB,0.04547
JPY,BRL,0.038
JPY,BSD,0.006585
JPY,BTN,0.5532
JPY,BWP,0.0874
JPY,BYN,0.02161
JPY,BZD,0.01317
JPY,CAD,0.009121
JPY,CDF,18.5972
JPY,CHF,0.005683
JPY,CLP,6.2604
JPY,CNY,0.04677
JPY,COP,29.1027
JPY,CRC,3.3576
JPY,CUP,0.158
JPY,CVE,0.6652
JPY,CZK,0.1528
JPY,DJF,1.1703
JPY,DKK,0.04499
JPY,DOP,0.3954
JPY,DZD,0.8734
JPY,EGP,0.3227
JPY,ERN,0.09878
