Company Name,Link to Wikipedia Page,GICS Sector,GICS Sub-Industry,Headquarters Location,Industry,Revenue,Net Income,Number of Employees,Market Cap,CEO,Founder(s),Founded
Old Dominion,https://en.wikipedia.org/wiki/Old_Dominion_Freight_Line,Cargo Ground Transportation,"Thomasville, North Carolina",2019-12-09,Transportation,5.87,1.24,22902,,"Kevin ""Marty"" Freeman","Earl Congdon Sr., Lillian Congdon",1934
Omnicom Group,https://en.wikipedia.org/wiki/Omnicom_Group,Advertising,"New York City, New York",1997-12-31,"Advertising, public relations",14.69,1.473,75900,,John D. Wren,"Allen Rosenshine, Mary C. ChoksiKeith Reinhard, John Bernbach",1986
ON Semiconductor,https://en.wikipedia.org/wiki/ON_Semiconductor,Semiconductors,"Phoenix, Arizona",2022-06-21,Semiconductors,8.25,2.19,30000,,Alan Campbell,,1999
ONEOK,https://en.wikipedia.org/wiki/Oneok,Oil & Gas Storage & Transportation,"Tulsa, Oklahoma",2010-03-15,Natural gas utility,17.7,2.66,4775,,Pierce Norton,"Ryan C. Haynes, C.B. Ames",1906
Oracle Corporation,https://en.wikipedia.org/wiki/Oracle_Corporation,Application Software,"Austin, Texas",1989-08-31,"Enterprise software, Business software, Cloud computing, Computer hardware, Consulting",52.96,10.47,159000,,Safra Catz,"Larry Ellison, Bob Miner, Ed Oates",1977
Otis Worldwide,https://en.wikipedia.org/wiki/Otis_Worldwide,Industrial Machinery & Supplies & Components,"Farmington, Connecticut",2020-04-03,Transport systems,14.21,1.406,71000,,Judy Marks,Elisha Otis(original Otis Elevator Company),1853
Paccar,https://en.wikipedia.org/wiki/Paccar,Construction Machinery & Heavy Transportation Equipment,"Bellevue, Washington",1980-12-31,"Heavy equipment, Automotive, Engines, Powertrain, Truck components, Financial services, Information technology",33.32,4.601,32400,,Preston Feight,William Pigott,1905
Packaging Corporation of America,https://en.wikipedia.org/wiki/Packaging_Corporation_of_America,Paper & Plastic Packaging Products & Materials,"Lake Forest, Illinois",2017-07-26,Packaging and containers,,,155001,,Mark W. Kowlzan,,1959
Palantir Technologies,https://en.wikipedia.org/wiki/Palantir_Technologies,Internet Services & Infrastructure,"Denver, Colorado",2024-09-23,Software,2.23,0.217,3735,,Alex Karp,"Peter Thiel, Stephen Cohen, Alex Karp, Joe Lonsdale",2003
Palo Alto Networks,https://en.wikipedia.org/wiki/Palo_Alto_Networks,Systems Software,"Santa Clara, California",2023-06-20,Network securityCybersecurityCloud computing,8.03,2.58,15289,,Nikesh Arora,Nir Zuk,2005
Paramount Global,https://en.wikipedia.org/wiki/Paramount_Global,Movies & Entertainment,"New York City, New York",1994-09-30,"Media, Entertainment",90.65,0.608,21900,,,,2019
Parker Hannifin,https://en.wikipedia.org/wiki/Parker_Hannifin,Industrial Machinery & Supplies & Components,"Cleveland, Ohio",1985-11-30,Manufacturing,19.9,2.84,61120,,Jennifer A. Parmentier,Arthur L. Parker,1917
Paychex,https://en.wikipedia.org/wiki/Paychex,Human Resource & Employment Services,"Penfield, New York",1998-10-01,"Business process outsourcing, Human capital management",5.278,1.69,16500,,John Gibson,B. Thomas Golisano,1971
Paycom,https://en.wikipedia.org/wiki/Paycom,Human Resource & Employment Services,"Oklahoma City, Oklahoma",2020-01-28,SoftwareSaaSHCM,1.66,0.341,7300,,Chad Richison,Chad Richison,1998
PayPal,https://en.wikipedia.org/wiki/PayPal,Transaction & Payment Processing Services,"San Jose, California",2015-07-20,Financial technology,29.77,4.246,27200,,Alex Chriss,"Ken Howery, Max Levchin, Luke Nosek, Yu Pan, Peter Thiel, Elon Musk, Harris Fricker, Christopher Payne, Ed Ho",1998
Pentair,https://en.wikipedia.org/wiki/Pentair,Industrial Machinery & Supplies & Components,"Worsley, United Kingdom",2012-10-01,Water & Fluid SolutionsValves & ControlsTechnical SolutionsWater Treatment Solutions,3.8,,11250,,John L. Stauch,,1966
PepsiCo,https://en.wikipedia.org/wiki/PepsiCo,Soft Drinks & Non-alcoholic Beverages,"Purchase, New York",1957-03-04,"Beverages, Food processing",91.47,9.16,318000,,Ramon Laguarta,Caleb Bradham(for the Pepsi-Cola Company branch),1898
Pfizer,https://en.wikipedia.org/wiki/Pfizer,Pharmaceuticals,"New York City, New York",1957-03-04,"Pharmaceutical, Biotechnology",58.5,2.12,88000,,Albert Bourla,"Charles Pfizer, Charles F. Erhart",1849
PG&E Corporation,https://en.wikipedia.org/wiki/PG%26E,Multi-Utilities,"Oakland, California",2022-10-03,"Electricity, Natural gas",24.43,2.24,28000,,Patti Poppe,,1905
Philip Morris International,https://en.wikipedia.org/wiki/Philip_Morris_International,Tobacco,"New York City, New York",2008-03-31,Tobacco,35.174,7.813,82700,,Jacek Olczak,Philip Morris,2008
Phillips 66,https://en.wikipedia.org/wiki/Phillips_66,Oil & Gas Refining & Marketing,"Houston, Texas",2012-05-01,Oil and gas,149.9,7.015,14000,,Mark Lashier,"L.E. Phillips, Frank Phillips",1927
Pinnacle West,https://en.wikipedia.org/wiki/Pinnacle_West,Multi-Utilities,"Phoenix, Arizona",1999-10-04,Electric utilities,3.565,0.508,6292,,Jeffrey B. Guldner,,1985
PNC Financial Services,https://en.wikipedia.org/wiki/PNC_Financial_Services,Diversified Banks,"Pittsburgh, Pennsylvania",1988-04-30,"Banking, Investment banking, Financial services",21.1,6.1,59426,,William S. Demchak,,1845
Pool Corporation,https://en.wikipedia.org/wiki/Pool_Corporation,Distributors,"Covington, Louisiana",2020-10-07,Swimming pools,5.541,0.523,6000,,,Frank St. Romain,1980
